web-scraper-order,web-scraper-start-url,station-name-link,station-name-link-href,coordinates-link,coordinates-link-href,coordinates
"1625383156-395","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Box Hill","https://en.wikipedia.org/wiki/Box_Hill_railway_station,_Melbourne","37°49′09″S 145°07′17″E﻿ / ﻿37.8192°S 145.1214°E﻿ / -37.8192; 145.1214","https://geohack.toolforge.org/geohack.php?pagename=Box_Hill_railway_station,_Melbourne&params=37.8192_S_145.1214_E_type:railwaystation_region:AU-VIC","-37.8192"
"1625382263-60","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Sunshine","https://en.wikipedia.org/wiki/Sunshine_railway_station,_Melbourne","37°47′17″S 144°49′57″E﻿ / ﻿37.7881°S 144.8325°E﻿ / -37.7881; 144.8325","https://geohack.toolforge.org/geohack.php?pagename=Sunshine_railway_station,_Melbourne&params=37.7881_S_144.8325_E_type:railwaystation_region:AU-VIC","144.8325"
"1625382512-153","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","North Brighton","https://en.wikipedia.org/wiki/North_Brighton_railway_station","37°54′17″S 145°00′09″E﻿ / ﻿37.9046°S 145.0026°E﻿ / -37.9046; 145.0026","https://geohack.toolforge.org/geohack.php?pagename=North_Brighton_railway_station&params=37.9046_S_145.0026_E_type:railwaystation_region:AU-VIC","-37.9046"
"1625383074-365","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Clayton","https://en.wikipedia.org/wiki/Clayton_railway_station,_Melbourne","37°55′28″S 145°07′12″E﻿ / ﻿37.9245°S 145.1201°E﻿ / -37.9245; 145.1201","https://geohack.toolforge.org/geohack.php?pagename=Clayton_railway_station,_Melbourne&params=37.9245_S_145.1201_E_type:railwaystation_region:AU-VIC","-37.9245"
"1625382686-219","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Lalor","https://en.wikipedia.org/wiki/Lalor_railway_station","37°39′57″S 145°01′02″E﻿ / ﻿37.6659°S 145.0173°E﻿ / -37.6659; 145.0173","https://geohack.toolforge.org/geohack.php?pagename=Lalor_railway_station&params=37.6659_S_145.0173_E_type:railwaystation_region:AU-VIC","-37.6659"
"1625382528-159","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Newmarket","https://en.wikipedia.org/wiki/Newmarket_railway_station,_Melbourne","37°47′14″S 144°55′44″E﻿ / ﻿37.7873°S 144.9290°E﻿ / -37.7873; 144.9290","https://geohack.toolforge.org/geohack.php?pagename=Newmarket_railway_station,_Melbourne&params=37.7873_S_144.929_E_type:railwaystation_region:AU-VIC","-37.7873"
"1625382989-334","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Eaglemont","https://en.wikipedia.org/wiki/Eaglemont_railway_station","37°45′50″S 145°03′14″E﻿ / ﻿37.7638°S 145.0538°E﻿ / -37.7638; 145.0538","https://geohack.toolforge.org/geohack.php?pagename=Eaglemont_railway_station&params=37.7638_S_145.0538_E_type:railwaystation_region:AU-VIC","145.0538"
"1625382723-234","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Jordanville","https://en.wikipedia.org/wiki/Jordanville_railway_station","37°52′25″S 145°06′43″E﻿ / ﻿37.87358°S 145.11199°E﻿ / -37.87358; 145.11199","https://geohack.toolforge.org/geohack.php?pagename=Jordanville_railway_station&params=37.87358_S_145.11199_E_type:railwaystation_region:AU-VIC","145.11199"
"1625382305-76","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Southern Cross","https://en.wikipedia.org/wiki/Southern_Cross_railway_station","37°49′06″S 144°57′09″E﻿ / ﻿37.8184°S 144.9524°E﻿ / -37.8184; 144.9524","https://geohack.toolforge.org/geohack.php?pagename=Southern_Cross_railway_station&params=37.8184_S_144.9524_E_type:railwaystation_region:AU-VIC","144.9524"
"1625382210-40","https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne","Upfield","https://en.wikipedia.org/wiki/Upfield_railway_station","37°39′58″S 144°56′48″E﻿ / ﻿37.6660°S 144.9468°E﻿ / -37.6660; 144.9468","https://geohack.toolforge.org/geohack.php?pagename=Upfield_railway_station&params=37.666_S_144.9468_E_type:railwaystation_region:AU-VIC","144.9468"
