web-scraper-order,web-scraper-start-url,station-name-link,station-name-link-href,coordinates
1625310537-72,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Spotswood,https://en.wikipedia.org/wiki/Spotswood_railway_station,144°53′09″E
1625310897-344,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Croydon,"https://en.wikipedia.org/wiki/Croydon_railway_station,_Melbourne",145°16′50″E
1625310902-348,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Crib Point,https://en.wikipedia.org/wiki/Crib_Point_railway_station,145°12′15″E
1625310764-242,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Huntingdale,https://en.wikipedia.org/wiki/Huntingdale_railway_station,145°06′09″E
1625310569-95,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Sandown Park,"https://en.wikipedia.org/wiki/Sandown_Park_railway_station,_Melbourne",37°57′24″S
1625310695-189,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Mernda,https://en.wikipedia.org/wiki/Mernda_railway_station,37°35′58″S
1625310865-320,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Elsternwick,https://en.wikipedia.org/wiki/Elsternwick_railway_station,145°00′03″E
1625310666-167,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Mordialloc,https://en.wikipedia.org/wiki/Mordialloc_railway_station,38°00′24″S
1625310650-155,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Newmarket,"https://en.wikipedia.org/wiki/Newmarket_railway_station,_Melbourne",37°47′14″S
1625310631-139,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Nunawading,https://en.wikipedia.org/wiki/Nunawading_railway_station,37°49′13″S
1625310952-386,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Brunswick,"https://en.wikipedia.org/wiki/Brunswick_railway_station,_Melbourne",144°57′35″E
1625310693-188,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Merri,https://en.wikipedia.org/wiki/Merri_railway_station,144°59′35″E
1625311021-436,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Albion,"https://en.wikipedia.org/wiki/Albion_railway_station,_Melbourne",144°49′28″E
1625310782-256,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Heathmont,https://en.wikipedia.org/wiki/Heathmont_railway_station,145°14′40″E
1625310966-396,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Bonbeach,https://en.wikipedia.org/wiki/Bonbeach_railway_station,145°07′11″E
1625310889-338,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Darling,https://en.wikipedia.org/wiki/Darling_railway_station,145°03′46″E
1625310826-289,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Ginifer,https://en.wikipedia.org/wiki/Ginifer_railway_station,37°45′29″S
1625310917-360,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Clifton Hill,https://en.wikipedia.org/wiki/Clifton_Hill_railway_station,144°59′43″E
1625310576-102,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Royal Park,https://en.wikipedia.org/wiki/Royal_Park_railway_station,144°57′06″E
1625310734-219,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Kooyong,https://en.wikipedia.org/wiki/Kooyong_railway_station,37°50′24″S
1625310842-302,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Flemington Racecourse,https://en.wikipedia.org/wiki/Flemington_Racecourse_railway_station,144°54′24″E
1625310615-128,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Parkdale,https://en.wikipedia.org/wiki/Parkdale_railway_station,145°04′34″E
1625310886-335,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Dennis,https://en.wikipedia.org/wiki/Dennis_railway_station,37°46′45″S
1625310468-17,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Westgarth,https://en.wikipedia.org/wiki/Westgarth_railway_station,37°46′51″S
1625310732-217,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Laburnum,https://en.wikipedia.org/wiki/Laburnum_railway_station,37°49′15″S
1625310688-183,https://en.wikipedia.org/wiki/List_of_railway_stations_in_Melbourne,Middle Footscray,https://en.wikipedia.org/wiki/Middle_Footscray_railway_station,37°48′09″S
